Compound_ID	name	evidence_score	MW	all_possibles
	input_mz	match_form	mz_difference
	456.243	M[1+]	0.001
	373.2885	M-HCOOK+H[1+]	0.0005
	421.2299	M-H4O2+H[1+]	0.0018
	385.2257	M-C3H4O2+H[1+]	-0.0025
C14826	12(13)-EpOME	8	296.2351	among possibles C14825,C14826,C14762
	296.2352	M[1+]	0.0001
	296.2361	M[1+]	0.001
	296.2356	M[1+]	0.0005
	280.2152	M-NH3+H[1+]	-0.0007
	296.2348	M[1+]	-0.0003
	280.2143	M-NH3+H[1+]	-0.0016
	296.2349	M[1+]	-0.0002
	296.2357	M[1+]	0.0006
	315.2553	M+H2O+H[1+]	0.0023
	280.2141	M-NH3+H[1+]	-0.0018
	296.234	M[1+]	-0.0011
	280.2147	M-NH3+H[1+]	-0.0012
	296.2355	M[1+]	0.0004
	296.2341	M[1+]	-0.001
	280.2149	M-NH3+H[1+]	-0.001
	296.2353	M[1+]	0.0002
	355.199	M+NaCl[1+]	-0.002
	280.2148	M-NH3+H[1+]	-0.0011
	315.2557	M+H2O+H[1+]	0.0027
	296.2354	M[1+]	0.0003
	296.2351	M[1+]	0.0
	315.2552	M+H2O+H[1+]	0.0022
	296.235	M[1+]	-0.0001
	280.2163	M-NH3+H[1+]	0.0004
	280.215	M-NH3+H[1+]	-0.0009
	280.2145	M-NH3+H[1+]	-0.0014
	280.2151	M-NH3+H[1+]	-0.0008
	296.2369	M[1+]	0.0018
C05490	11-Dehydrocorticosterone	13	344.1988
	344.1992	M[1+]	0.0004
	328.1796	M-NH3+H[1+]	0.0
	261.2455	M-HCOOK+H[1+]	0.0007
	383.1641	M+K[1+]	0.0025
	261.2456	M-HCOOK+H[1+]	0.0008
	328.1782	M-NH3+H[1+]	-0.0014
	328.1795	M-NH3+H[1+]	-0.0001
	261.2449	M-HCOOK+H[1+]	0.0001
	261.2457	M-HCOOK+H[1+]	0.0009
	383.1649	M+K[1+]	0.0033
	261.246	M-HCOOK+H[1+]	0.0012
	261.2452	M-HCOOK+H[1+]	0.0004
	261.2453	M-HCOOK+H[1+]	0.0005
	261.2454	M-HCOOK+H[1+]	0.0006
	317.2115	M-CO+H[1+]	0.0004
	301.2184	M-CO2+H[1+]	0.0021
	363.2195	M+H2O+H[1+]	0.0028
	429.1646	M+HCOOK[1+]	-0.0028
	429.1641	M+HCOOK[1+]	-0.0033
	328.1789	M-NH3+H[1+]	-0.0007
	261.2461	M-HCOOK+H[1+]	0.0013
CE5528		18	310.2144
	312.2274	M(C13)+H[1+]	0.0023
	310.2146	M[1+]	0.0002
	312.226	M(C13)+H[1+]	0.0009
	156.1154	M+2H[2+]	0.0009
	156.1151	M+2H[2+]	0.0006
	312.2265	M(C13)+H[1+]	0.0014
	312.2271	M(C13)+H[1+]	0.002
	156.115	M+2H[2+]	0.0005
	310.2145	M[1+]	0.0001
	294.1967	M-NH3+H[1+]	0.0015
	312.2281	M(C13)+H[1+]	0.003
	312.2269	M(C13)+H[1+]	0.0018
	227.2609	M-HCOOK+H[1+]	0.0005
	294.1932	M-NH3+H[1+]	-0.002
	294.1923	M-NH3+H[1+]	-0.0029
	227.2607	M-HCOOK+H[1+]	0.0003
	294.1925	M-NH3+H[1+]	-0.0027
	294.196	M-NH3+H[1+]	0.0008
	312.2273	M(C13)+H[1+]	0.0022
	294.1929	M-NH3+H[1+]	-0.0023
	310.2128	M[1+]	-0.0016
	310.2149	M[1+]	0.0005
	369.1793	M+NaCl[1+]	-0.001
	312.2282	M(C13)+H[1+]	0.0031
	310.2151	M[1+]	0.0007
	156.1153	M+2H[2+]	0.0008
	156.1144	M+2H[2+]	-0.0001
	156.1149	M+2H[2+]	0.0004
	311.22	M+H[1+]	-0.0017
	156.1152	M+2H[2+]	0.0007
	312.228	M(C13)+H[1+]	0.0029
	310.2148	M[1+]	0.0004
	312.2261	M(C13)+H[1+]	0.001
	294.1953	M-NH3+H[1+]	0.0001
CE4980	Prostaglandin PGE2 glyceryl ester	13	426.2617
	495.2581	M+HCOONa[1+]	0.0017
	495.2584	M+HCOONa[1+]	0.002
	381.2658	M-HCOOH+H[1+]	0.0022
	410.2453	M-NH3+H[1+]	0.0028
	445.2824	M+H2O+H[1+]	0.0028
	359.2816	M-HCOONa+H[1+]	-0.0
	428.2686	M(C13)+H[1+]	-0.0038
	410.2437	M-NH3+H[1+]	0.0012
	428.2751	M(C13)+H[1+]	0.0027
	381.2618	M-HCOOH+H[1+]	-0.0018
	410.2441	M-NH3+H[1+]	0.0016
	427.2711	M+H[1+]	0.0021
	359.2822	M-HCOONa+H[1+]	0.0006
